Viikko;Liidit;1.tapaamiset;kaikki tapaamiset;Kaupat
Vk 1;48;1;7;0
Vk 2;43;4;9;0
Vk 3;20;4;12;1
Vk 4;21;3;8;1
Vk 5;32;5;7;0
Vk 6;41;6;8;0
Vk 7;36;5;8;1
Vk 8;34;5;10;0
Vk 9;2;1;4;1
Vk 10;55;2;10;1
Vk 11;61;4;5;1
Vk 12;48;5;10;0
Vk 13;47;5;17;1
Vk 14;35;5;11;0
Vk 15;26;3;13;1
Vk 16;42;5;8;2
Vk 17;48;2;8;1
Vk 18;27;3;8;0
Vk 19;27;5;12;2
Vk 20;28;1;8;1
Vk 21;17;6;13;1
Vk 22;14;2;8;0
Vk 23;13;2;9;1
Vk 24;20;4;9;0
Vk 25;18;3;10;1
Vk 26;;2;6;0
Vk 27;47;3;4;0
Vk 28;19;5;12;2
Vk 29;19;2;9;0
Vk 30;19;3;4;0
Vk 31;40;9;9;0
Vk 32;43;9;11;0
Vk 33;23;4;17;2
Vk 34;41;5;14;1
Vk 35;57;6;12;1
Vk 36;37;2;15;1
Vk 37;55;3;12;1
Vk 38;52;4;15;2
Vk 39;68;8;16;1
Vk 40;45;8;19;1
Vk 41;46;8;17;1
Vk 42;66;9;18;1
Vk 43;79;3;16;2
Vk 44;65;7;18;2
Vk 45;55;5;17;0
Vk 46;50;9;17;3
Vk 47;34;8;19;0
Vk 48;26;2;15;4
Vk 49;48;4;11;2
Vk 50;50;2;7;2
Vk 51;32;0;0;2
Vk 52;64;0;4;2
;1983;221;566;50
Vk 1;82;2;5;0
Vk 2;83;5;6;0
Vk 3;69;7;13;0
Vk 4;59;8;15;0
Vk 5;64;6;17;1
Vk 6;69;6;13;0
Vk 7;35;4;10;0
Vk 8;56;5;16;4
Vk 9;85;2;6;0
Vk 10;56;6;10;0
Vk 11;72;3;9;1
Vk 12;49;6;11;0
Vk 13;51;2;8;1
Vk 14;49;3;6;2
Vk 15;42;3;5;0
Vk 16;44;3;7;1
Vk 17;61;7;13;0
Vk 18;50;8;11;2
Vk 19;41;6;7;1
Vk 20;43;9;15;1
Vk 21;55;9;15;0
Vk 22;57;9;18;2
Vk 23;49;8;12;1
Vk 24;52;4;12;0
Vk 25;38;7;9;0
Vk 26;40;8;15;2
Vk 27;45;9;11;0
Vk 28;30;1;8;1
Vk 29;34;6;10;0
Vk 30;54;3;7;0
Vk 31;40;2;7;0
Vk 32;48;2;10;0
Vk 33;46;5;10;4
Vk 34;45;8;10;1
Vk 35;59;9;14;2
Vk 36;53;9;13;2
Vk 37;61;2;9;1
Vk 38;39;4;11;1
Vk 39;65;4;7;0
Vk 40;49;4;11;1
Vk 41;48;3;9;0
Vk 42;40;5;11;1
Vk 43;36;4;12;0
Vk 44;73;4;9;1
Vk 45;63;11;11;0
Vk 46;47;;;
Vk 47;46;;;
Vk 48;;;;
Vk 49;45;;;
Vk 50;41;;;
Vk 51;;;;
Vk 52;;;;
;;241;474;34
Vk 1;;0;0;1
Vk 2;;2;6;0
Vk 3;;4;6;1
Vk 4;;3;7;0
Vk 5;;3;6;1
Vk 6;;3;4;2
Vk 7;;0;3;0
Vk 8;;5;9;0
Vk 9;;1;3;0
Vk 10;;4;4;1
Vk 11;;3;6;1
Vk 12;;3;7;0
Vk 13;;4;2;0
Vk 14;;3;6;0
Vk 15;;2;2;0
Vk 16;;1;1;1
Vk 17;;7;8;0
Vk 18;;3;3;0
Vk 19;;2;5;0
Vk 20;;;3;1
Vk 21;;;;
Vk 22;;;;
Vk 23;;;;
Vk 24;;;;
Vk 25;;;;
Vk 26;;;;
Vk 27;;;;
Vk 28;;;;
Vk 29;;;;
Vk 30;;;;
Vk 31;;;;
Vk 32;;;;
Vk 33;;;;
Vk 34;;;;
Vk 35;;;;
Vk 36;;;;
Vk 37;;;;
Vk 38;;;;
Vk 39;;;;
Vk 40;;;;
Vk 41;;;;
Vk 42;;;;
Vk 43;;;;
Vk 44;;;;
Vk 45;;;;
Vk 46;;;;
Vk 47;;;;
Vk 48;;;;
Vk 49;;;;
Vk 50;;;;
Vk 51;;;;
Vk 52;;;;
